word,surah,aya,word_position,start,end,translation
إِنْ تَتُوبَا,66,4,1,0.0,2.72,{'en': 'If you both turn'}
إِلَى اللَّهِ,66,4,3,2.72,3.72,{'en': 'to Allah'}
فَقَدْ صَغَتْ,66,4,5,3.72,5.04,{'en': 'so indeed (are) inclined'}
قُلُوبُكُمَا,66,4,7,5.04,6.24,{'en': 'your hearts'}
وَإِنْ,66,4,8,6.24,7.44,{'en': 'but if'}
تَظَاهَرَا,66,4,9,7.44,8.92,{'en': 'you backup each other'}
عَلَيْهِ,66,4,10,8.92,9.47,{'en': 'against him'}
فَإِنَّ,66,4,11,9.47,10.23,{'en': 'then indeed'}
اللَّهَ,66,4,12,10.23,11.23,{'en': 'Allah'}
هُوَ,66,4,13,11.23,12.04,{'en': 'He'}
مَوْلَاهُ,66,4,14,12.04,15.16,{'en': '(is) his Protector'}
وَجِبْرِيلُ,66,4,15,15.16,16.239,{'en': 'and Jibreel'}
وَصَالِحُ,66,4,16,16.239,17.24,{'en': 'and (the) righteous'}
الْمُؤْمِنِينَ,66,4,17,17.24,18.23,{'en': 'believers'}
وَالْمَلَائِكَةُ,66,4,18,18.23,20.76,{'en': 'and the Angels'}
بَعْدَ ذَلِكَ,66,4,19,20.76,21.96,{'en': 'after that'}
ظَهِيرٌ,66,4,21,21.96,23.68,{'en': '(are his) assistants'}
عَسَى رَبُّهُ,66,5,1,23.68,24.941,{'en': 'Perhaps his Lord'}
إِنْ,66,5,3,24.941,25.691,{'en': 'if'}
طَلَّقَكُنَّ,66,5,4,25.691,27.861,{'en': 'he divorced you'}
أَنْ يُبْدِلَهُ,66,5,5,27.861,30.781,{'en': '[that] He will substitute for him'}
أَزْوَاجًا,66,5,7,30.781,36.141,{'en': 'wives'}
خَيْرًا,66,5,8,36.141,36.941,{'en': 'better'}
مِنْكُنَّ,66,5,9,36.941,38.941,{'en': 'than you'}
مُسْلِمَاتٍ,66,5,10,38.941,42.301,{'en': 'submissive'}
مُؤْمِنَاتٍ,66,5,11,42.301,43.941,{'en': 'faithful'}
قَانِتَاتٍ,66,5,12,43.941,45.621,{'en': 'obedient'}
تَائِبَاتٍ,66,5,13,45.621,47.821,{'en': 'repentant'}
عَابِدَاتٍ,66,5,14,47.821,49.141,{'en': 'who worship'}
سَائِحَاتٍ,66,5,15,49.141,54.701,{'en': 'who fast'}
ثَيِّبَاتٍ,66,5,16,54.701,56.381,{'en': 'previously married'}
وَأَبْكَارًا,66,5,17,56.381,59.501,{'en': 'and virgins'}
يَا أَيُّهَا,66,6,1,59.501,62.029,{'en': 'O (you) who'}
الَّذِينَ,66,6,3,62.029,62.669,{'en': 'believe'}
آمَنُوا,66,6,4,62.669,63.789,{'en': 'Protect'}
قُوا,66,6,5,63.789,66.429,{'en': 'yourselves'}
أَنْفُسَكُمْ وَأَهْلِيكُمْ,66,6,6,66.429,68.029,{'en': 'and your families (from) a Fire'}
نَارًا,66,6,8,68.029,68.869,{'en': 'whose fuel'}
وَقُودُهَا,66,6,9,68.869,72.709,{'en': '(is) people'}
النَّاسُ,66,6,10,72.709,73.909,{'en': 'and stones'}
وَالْحِجَارَةُ,66,6,11,73.909,75.429,{'en': 'over it'}
عَلَيْهَا,66,6,12,75.429,78.429,{'en': '(are) Angels'}
مَلَائِكَةٌ,66,6,13,78.429,80.869,{'en': 'stern'}
غِلَاظٌ,66,6,14,80.869,81.949,{'en': 'severe'}
شِدَادٌ,66,6,15,81.949,83.629,{'en': 'not'}
لَا يَعْصُونَ,66,6,16,83.629,86.548,{'en': 'they disobey Allah'}
اللَّهَ,66,6,18,86.799,88.459,{'en': '(in) what'}
مَا,66,6,19,88.459,90.669,{'en': 'He Commands them'}
أَمَرَهُمْ,66,6,20,90.669,91.509,{'en': 'but they do'}
وَيَفْعَلُونَ,66,6,21,91.509,92.909,{'en': 'what'}
مَا يُؤْمَرُونَ,66,6,22,92.909,96.429,{'en': 'they are commanded (6)'}
يَا أَيُّهَا,66,7,1,96.429,98.375,{'en': 'O (you) who'}
الَّذِينَ,66,7,3,98.375,98.975,{'en': 'disbelieve'}
كَفَرُوا,66,7,4,98.975,99.895,{'en': '(Do) not'}
لَا تَعْتَذِرُوا,66,7,5,99.895,101.335,{'en': 'make excuses today'}
الْيَوْمَ,66,7,7,101.335,102.535,{'en': 'Only'}
إِنَّمَا,66,7,8,102.535,104.375,{'en': 'you will be recompensed'}
تُجْزَوْنَ,66,7,9,104.375,105.455,{'en': '(for) what'}
مَا كُنْتُمْ,66,7,10,105.455,109.785,{'en': 'you used to do'}
تَعْمَلُونَ يَا,66,7,12,109.785,109.973,{'en': '(7) O'}
أَيُّهَا,66,8,2,109.973,112.743,{'en': '(you) who believe'}
الَّذِينَ,66,8,3,112.743,113.343,{'en': 'believe'}
آمَنُوا,66,8,4,113.343,114.463,{'en': 'Turn'}
تُوبُوا,66,8,5,114.463,115.343,{'en': 'to'}
إِلَى,66,8,6,115.343,116.503,{'en': 'Allah'}
اللَّهِ,66,8,7,116.503,117.183,{'en': '(in) repentance'}
تَوْبَةً,66,8,8,117.183,118.023,{'en': 'sincere'}
نَصُوحًا,66,8,9,118.023,119.303,{'en': 'Perhaps'}
عَسَى,66,8,10,119.303,121.303,{'en': 'your Lord'}
رَبُّكُمْ,66,8,11,121.303,122.223,{'en': 'will'}
أَنْ يُكَفِّرَ,66,8,12,122.223,123.943,{'en': 'remove from you'}
عَنْكُمْ,66,8,14,123.943,124.663,{'en': 'your evil deeds'}
سَيِّئَاتِكُمْ,66,8,15,124.663,126.303,{'en': 'and admit you'}
وَيُدْخِلَكُمْ,66,8,16,126.303,129.583,{'en': '(into) Gardens'}
جَنَّاتٍ,66,8,17,129.583,130.902,{'en': 'flow'}
تَجْرِي,66,8,18,130.902,131.453,{'en': 'from'}
مِنْ,66,8,19,131.453,132.413,{'en': 'underneath it'}
تَحْتِهَا,66,8,20,132.413,133.583,{'en': 'the rivers'}
الْأَنْهَارُ,66,8,21,133.583,134.623,{'en': '(on the) Day'}
يَوْمَ لَا,66,8,22,134.623,135.373,{'en': 'not will be disgraced'}
يُخْزِي,66,8,24,135.373,137.732,{'en': '(by) Allah'}
اللَّهُ,66,8,25,138.317,141.103,{'en': 'the Prophet'}
النَّبِيَّ وَالَّذِينَ,66,8,26,141.103,142.343,{'en': 'and those who believed'}
آمَنُوا,66,8,28,142.343,143.423,{'en': 'with him'}
مَعَهُ,66,8,29,143.423,146.383,{'en': 'Their light'}
نُورُهُمْ,66,8,30,146.383,147.143,{'en': 'will run'}
يَسْعَى,66,8,31,147.143,147.943,{'en': 'before'}
بَيْنَ أَيْدِيهِمْ,66,8,32,147.943,149.583,{'en': 'their hands and on their right'}
وَبِأَيْمَانِهِمْ,66,8,34,149.583,151.143,{'en': 'they will say'}
يَقُولُونَ,66,8,35,151.143,153.073,{'en': 'Our Lord'}
رَبَّنَا,66,8,36,153.424,155.063,{'en': 'Perfect'}
أَتْمِمْ,66,8,37,155.063,156.823,{'en': 'for us'}
لَنَا نُورَنَا,66,8,38,156.823,158.103,{'en': 'our light and grant forgiveness'}
وَاغْفِرْ,66,8,40,158.103,158.863,{'en': 'to us'}
لَنَا,66,8,41,158.863,160.663,"{'en': 'Indeed, You'}"
إِنَّكَ,66,8,42,160.663,162.183,{'en': '(are) over'}
عَلَى,66,8,43,162.183,162.703,{'en': 'every'}
كُلِّ شَيْءٍ,66,8,44,162.703,166.193,{'en': 'thing All-Powerful'}
قَدِيرٌ,66,8,46,166.193,166.253,{'en': '(8)'}
